listing@320 | .location-panel__poi-panel | height : "52.6875px" -> "233.422px"
listing@320 | .location-panel__poi-panel | z-index : "10" -> "auto"
listing@320 | .location-panel__poi-panel | _rect : [288,52.69] -> [288,233.42]
listing@320 | .location-panel__poi-tab | count : 3 -> 4
listing@320 | .location-panel__poi-tab | width : "82.2188px" -> "82.6406px"
listing@320 | .location-panel__poi-tab | border-top-color : "rgb(110, 110, 115)" -> "rgb(29, 29, 31)"
listing@320 | .location-panel__poi-tab | color : "rgb(110, 110, 115)" -> "rgb(29, 29, 31)"
listing@320 | .location-panel__poi-tab | font-weight : "400" -> "600"
listing@320 | .location-panel__poi-tab | _rect : [82.22,51.69] -> [82.64,51.69]
listing@320 | .location-panel__poi-subtabs | count : 0 -> 1
listing@320 | .location-panel__poi-subtab | count : 0 -> 2
listing@320 | .location-panel__poi-list | count : 0 -> 1
listing@320 | .location-panel__poi-item | count : 0 -> 1
listing@320 | .location-panel__poi-letter | count : 0 -> 1
listing@320 | .location-panel__poi-name | count : 0 -> 1
listing@320 | .location-panel__poi-distance | count : 0 -> 1
listing@320 | .amap-map-canvas__pin-marker | count : 0 -> 1
listing@375 | .location-panel__poi-panel | height : "52.6875px" -> "233.422px"
listing@375 | .location-panel__poi-panel | z-index : "10" -> "auto"
listing@375 | .location-panel__poi-panel | _rect : [343,52.69] -> [343,233.42]
listing@375 | .location-panel__poi-tab | count : 3 -> 4
listing@375 | .location-panel__poi-tab | width : "82.2188px" -> "82.6406px"
listing@375 | .location-panel__poi-tab | border-top-color : "rgb(110, 110, 115)" -> "rgb(29, 29, 31)"
listing@375 | .location-panel__poi-tab | color : "rgb(110, 110, 115)" -> "rgb(29, 29, 31)"
listing@375 | .location-panel__poi-tab | font-weight : "400" -> "600"
listing@375 | .location-panel__poi-tab | _rect : [82.22,51.69] -> [82.64,51.69]
listing@375 | .location-panel__poi-subtabs | count : 0 -> 1
listing@375 | .location-panel__poi-subtab | count : 0 -> 2
listing@375 | .location-panel__poi-list | count : 0 -> 1
listing@375 | .location-panel__poi-item | count : 0 -> 1
listing@375 | .location-panel__poi-letter | count : 0 -> 1
listing@375 | .location-panel__poi-name | count : 0 -> 1
listing@375 | .location-panel__poi-distance | count : 0 -> 1
listing@375 | .amap-map-canvas__pin-marker | count : 0 -> 1
listing@768 | .location-panel__poi-panel | height : "60.25px" -> "244.984px"
listing@768 | .location-panel__poi-panel | z-index : "10" -> "auto"
listing@768 | .location-panel__poi-panel | _rect : [736,60.25] -> [736,244.98]
listing@768 | .location-panel__poi-tab | count : 3 -> 4
listing@768 | .location-panel__poi-tab | width : "86.7969px" -> "87.2656px"
listing@768 | .location-panel__poi-tab | border-top-color : "rgb(110, 110, 115)" -> "rgb(29, 29, 31)"
listing@768 | .location-panel__poi-tab | color : "rgb(110, 110, 115)" -> "rgb(29, 29, 31)"
listing@768 | .location-panel__poi-tab | font-weight : "400" -> "600"
listing@768 | .location-panel__poi-tab | _rect : [86.8,59.25] -> [87.27,59.25]
listing@768 | .location-panel__poi-subtabs | count : 0 -> 1
listing@768 | .location-panel__poi-subtab | count : 0 -> 2
listing@768 | .location-panel__poi-list | count : 0 -> 1
listing@768 | .location-panel__poi-item | count : 0 -> 1
listing@768 | .location-panel__poi-letter | count : 0 -> 1
listing@768 | .location-panel__poi-name | count : 0 -> 1
listing@768 | .location-panel__poi-distance | count : 0 -> 1
listing@768 | .amap-map-canvas__pin-marker | count : 0 -> 1
listing@1440 | .location-panel__poi-panel | z-index : "10" -> "auto"
listing@1440 | .location-panel__poi-tab | count : 3 -> 4
listing@1440 | .location-panel__poi-tab | width : "86.7969px" -> "87.2656px"
listing@1440 | .location-panel__poi-tab | border-top-color : "rgb(110, 110, 115)" -> "rgb(29, 29, 31)"
listing@1440 | .location-panel__poi-tab | color : "rgb(110, 110, 115)" -> "rgb(29, 29, 31)"
listing@1440 | .location-panel__poi-tab | font-weight : "400" -> "600"
listing@1440 | .location-panel__poi-tab | _rect : [86.8,59.25] -> [87.27,59.25]
listing@1440 | .location-panel__poi-subtabs | count : 0 -> 1
listing@1440 | .location-panel__poi-subtab | count : 0 -> 2
listing@1440 | .location-panel__poi-list | count : 0 -> 1
listing@1440 | .location-panel__poi-item | count : 0 -> 1
listing@1440 | .location-panel__poi-letter | count : 0 -> 1
listing@1440 | .location-panel__poi-name | count : 0 -> 1
listing@1440 | .location-panel__poi-distance | count : 0 -> 1
--- total prop diffs: 308
